Model,Scenario,Region,Variable,Unit,2015.0
MESSAGEix,none,NewBrunswick,gas_fs,Gwa,0.16013031767771513
MESSAGEix,none,NewBrunswick,gas_i,Gwa,0.5623824219447128
MESSAGEix,none,NewBrunswick,gas_imp,Gwa,0.8177296072834002
MESSAGEix,none,NewBrunswick,gas_ppl,Gwa,0.252511415525114
MESSAGEix,none,NewBrunswick,gas_rc,Gwa,0.06752799444757555
MESSAGEix,none,NewBrunswick,gas_t_d,Gwa,2.1483325511226505
MESSAGEix,none,NewBrunswick,gas_trp,Gwa,0.0
MESSAGEix,none,NewBrunswick,heat_i,Gwa,0.013217452926528856
MESSAGEix,none,NewBrunswick,heat_rc,Gwa,0.0006855935682588534
MESSAGEix,none,NewBrunswick,heat_t_d,Gwa,0.013903046494787711
MESSAGEix,none,NewBrunswick,hydro_lc,Gwa,0.29822203196347
MESSAGEix,none,NewBrunswick,land_use_biomass,Gwa,0.1894485859817515
MESSAGEix,none,NewBrunswick,landfill_ele,Gwa,0.0004993626230346937
MESSAGEix,none,NewBrunswick,loil_exp,Gwa,19.969857033165102
MESSAGEix,none,NewBrunswick,loil_fs,Gwa,4.604754265098158
MESSAGEix,none,NewBrunswick,loil_i,Gwa,1.2098513266920952
MESSAGEix,none,NewBrunswick,loil_imp,Gwa,3.528816277976376
MESSAGEix,none,NewBrunswick,loil_ppl,Gwa,0.0306839183292122
MESSAGEix,none,NewBrunswick,loil_rc,Gwa,2.947637227399974
MESSAGEix,none,NewBrunswick,loil_t_d,Gwa,27.603940758148028
MESSAGEix,none,NewBrunswick,loil_trp,Gwa,1.70979199744292
MESSAGEix,none,NewBrunswick,nuc_lc,Gwa,0.488246118721461
MESSAGEix,none,NewBrunswick,oil_exp,Gwa,49.85645727534844
MESSAGEix,none,NewBrunswick,oil_extr_1,Gwa,5.211747804329951
MESSAGEix,none,NewBrunswick,oil_extr_2,Gwa,34.417202481424184
MESSAGEix,none,NewBrunswick,oil_extr_3,Gwa,10.391874909798485
MESSAGEix,none,NewBrunswick,oil_extr_4,Gwa,34.83772034828817
MESSAGEix,none,NewBrunswick,oil_extr_mpen,Gwa,84.85854554384096
MESSAGEix,none,NewBrunswick,oil_imp,Gwa,16.679494720027453
MESSAGEix,none,NewBrunswick,ref_hil,Gwa,0.211030974106754
MESSAGEix,none,NewBrunswick,ref_lol,Gwa,1.3384269707728762
MESSAGEix,none,NewBrunswick,solar_pv_ppl,Gwa,0.0
MESSAGEix,none,NewBrunswick,solar_rc,Gwa,0.0009196182958856736
MESSAGEix,none,NewBrunswick,sp_el_I,Gwa,0.521943180228311
MESSAGEix,none,NewBrunswick,sp_el_RC,Gwa,1.01217656821918
MESSAGEix,none,NewBrunswick,wind_ppl,Gwa,0.084132420091324
MESSAGEix,none,NewfoundlandandLabrador,bio_ppl,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,biomass_i,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,biomass_nc,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,biomass_rc,Gwa,0.15210282150733898
MESSAGEix,none,NewfoundlandandLabrador,biomass_t_d,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,coal_exp,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,coal_extr,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,coal_extr_mpen,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,coal_fs,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,coal_i,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,coal_imp,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,coal_ppl,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,coal_rc,Gwa,0.027444361551923185
MESSAGEix,none,NewfoundlandandLabrador,coal_t_d,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,elec_exp,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,elec_i,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,elec_imp,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,elec_t_d,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,elec_trp,Gwa,0.0
MESSAGEix,none,NewfoundlandandLabrador,eth_bio,Gwa,0.024982810214535786
MESSAGEix,none,NewfoundlandandLabrador,eth_exp,Gwa,0.004167202112142862
